Iref,iL
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
6.300000000000000044e-01,5.322855257026224418e-01
